,r
131,1.138811370430879
132,1.1392261840975069
133,1.1392261840975069
134,1.1372028918025774
135,1.1364108718585446
136,1.1396448705358118
137,1.1396448705358118
138,1.1396448705358118
139,1.1396448705358118
140,1.1352996315248105
141,1.1352996315248105
142,1.1352996315248105
143,1.1352996315248105
144,1.1352996315248105
145,1.1352996315248105
146,1.1352030248454081
147,1.1352030248454081
148,1.1352030248454081
149,1.1350166823223673
150,1.1363350925621205
151,1.1363350925621205
152,1.1363350925621205
153,1.1385107062804656
154,1.1385107062804656
155,1.1385107062804656
156,1.1385107062804656
157,1.1400835248271741
158,1.1400835248271741
159,1.1400835248271741
160,1.1373144313114825
161,1.1373144313114825
162,1.1373144313114825
163,1.1376874041248226
164,1.1376874041248226
165,1.1376874041248226
166,1.1376874041248226
167,1.1376874041248226
168,1.1376874041248226
169,1.1376874041248226
170,1.1389722095792996
171,1.1389722095792996
172,1.1389722095792996
173,1.1356198644641724
174,1.1356198644641724
175,1.1356198644641724
176,1.1356198644641724
177,1.1356198644641724
178,1.1334226334622393
179,1.1334226334622393
180,1.1359519690532018
181,1.1359519690532018
182,1.1359519690532018
183,1.1359519690532018
184,1.1359519690532018
185,1.1402679983914557
186,1.1402679983914557
187,1.136950454446503
188,1.1374510080681282
189,1.1398732585010276
190,1.1398732585010276
191,1.1398732585010276
192,1.1398732585010276
193,1.1398732585010276
194,1.1398732585010276
195,1.1398732585010276
196,1.139938420710466
197,1.139938420710466
198,1.139938420710466
199,1.1382179268708257
200,1.1387070190529618
201,1.1377775783457564
202,1.1377775783457564
203,1.1377775783457564
204,1.1377775783457564
205,1.1377775783457564
206,1.1377775783457564
207,1.1377775783457564
208,1.1377775783457564
209,1.1377775783457564
210,1.1382342010143793
211,1.1382342010143793
212,1.1382342010143793
213,1.1382342010143793
214,1.1382342010143793
215,1.1382342010143793
216,1.1382342010143793
217,1.1382342010143793
218,1.1382342010143793
219,1.1363048305735792
220,1.1363048305735792
221,1.1362285467994524
222,1.135982693605045
223,1.135982693605045
224,1.137302451756663
225,1.137302451756663
226,1.1356135041611661
227,1.1356135041611661
228,1.139847107774377
229,1.1380441386830438
230,1.1380441386830438
231,1.1380441386830438
232,1.1380441386830438
233,1.1380441386830438
234,1.1380441386830438
235,1.1380441386830438
236,1.1380441386830438
237,1.1368690565739419
238,1.1368690565739419
239,1.1368690565739419
240,1.1368690565739419
241,1.1368690565739419
242,1.1368690565739419
243,1.1368690565739419
244,1.1368690565739419
245,1.1368690565739419
246,1.1368690565739419
247,1.1368690565739419
248,1.1407388618468555
249,1.1410566513675222
250,1.1410566513675222
251,1.1410566513675222
252,1.1410566513675222
253,1.1410566513675222
254,1.1410566513675222
255,1.1410566513675222
256,1.1396838965069072
257,1.1396838965069072
258,1.1396838965069072
259,1.1396838965069072
260,1.1396838965069072
261,1.1396838965069072
262,1.1396838965069072
263,1.1396838965069072
264,1.1396838965069072
265,1.1396838965069072
266,1.1366820716555488
267,1.1389636510563639
268,1.1389636510563639
269,1.1389636510563639
270,1.1389636510563639
271,1.1373716313895237
272,1.1373716313895237
273,1.1373716313895237
274,1.1373716313895237
275,1.1373716313895237
276,1.1373716313895237
277,1.1373716313895237
278,1.1373716313895237
279,1.1373716313895237
280,1.1373716313895237
281,1.1386458506927146
282,1.1386458506927146
283,1.1386458506927146
284,1.1357516652806428
285,1.1357516652806428
286,1.1353897742714447
287,1.13798411759396
288,1.13798411759396
289,1.13798411759396
290,1.140820422945197
291,1.140820422945197
292,1.140820422945197
293,1.140820422945197
294,1.1374430088324672
295,1.1374430088324672
296,1.1374430088324672
297,1.1374430088324672
298,1.1374430088324672
299,1.1374430088324672
300,1.1374430088324672
301,1.1374430088324672
302,1.1374430088324672
303,1.1374430088324672
304,1.1374430088324672
305,1.1374430088324672
306,1.1374430088324672
307,1.1387384198907737
308,1.1387384198907737
309,1.1387384198907737
310,1.1387384198907737
311,1.1387384198907737
312,1.1387384198907737
313,1.1392125924349004
314,1.1392125924349004
315,1.1392125924349004
316,1.1392125924349004
317,1.1392125924349004
318,1.1392125924349004
319,1.1392125924349004
320,1.1392125924349004
321,1.1392125924349004
322,1.1392125924349004
323,1.1392125924349004
324,1.1392125924349004
325,1.1392125924349004
326,1.1382731494834857
327,1.1382731494834857
328,1.1382731494834857
329,1.1350181498854068
330,1.1350181498854068
331,1.1350181498854068
332,1.1350181498854068
333,1.1357244737296701
334,1.136423345351581
335,1.136423345351581
336,1.136423345351581
337,1.136423345351581
338,1.136423345351581
339,1.136423345351581
340,1.136423345351581
341,1.136423345351581
342,1.136423345351581
343,1.1371669825221327
344,1.1371669825221327
345,1.1371669825221327
346,1.1371669825221327
347,1.1371669825221327
348,1.1371669825221327
349,1.1371669825221327
350,1.1371669825221327
351,1.1371669825221327
352,1.1371669825221327
353,1.13741017483839
354,1.140723313150361
355,1.140723313150361
356,1.140723313150361
357,1.138554711750866
358,1.138554711750866
359,1.138590877292915
360,1.1398716770475206
361,1.1398716770475206
362,1.1398716770475206
363,1.1385790954120987
364,1.1385790954120987
365,1.1385790954120987
366,1.1385790954120987
367,1.1385790954120987
368,1.1385790954120987
369,1.1385790954120987
370,1.1385790954120987
371,1.1375587716682893
372,1.1375587716682893
373,1.1375587716682893
374,1.1375587716682893
375,1.1382328815339187
376,1.1382328815339187
377,1.1382328815339187
378,1.1405890822455367
379,1.1405890822455367
380,1.1405890822455367
381,1.1405890822455367
382,1.1405890822455367
383,1.1405890822455367
384,1.1405890822455367
385,1.1405890822455367
386,1.1405890822455367
387,1.1405890822455367
388,1.1405890822455367
389,1.1405890822455367
390,1.1363815965381632
391,1.1363815965381632
392,1.1380937041689334
393,1.1380937041689334
394,1.1380937041689334
395,1.1380937041689334
396,1.1380937041689334
397,1.1380937041689334
398,1.1380937041689334
399,1.1380937041689334
400,1.1380937041689334
401,1.1380937041689334
402,1.1380937041689334
403,1.1380937041689334
404,1.1380937041689334
405,1.1379804726764717
406,1.1379804726764717
407,1.1379804726764717
408,1.1379804726764717
409,1.1379804726764717
410,1.1379804726764717
411,1.1379804726764717
412,1.1379804726764717
413,1.1379804726764717
414,1.1379804726764717
415,1.1379804726764717
416,1.1379804726764717
417,1.1379804726764717
418,1.1379804726764717
419,1.1379804726764717
420,1.1400918450609916
421,1.1400918450609916
422,1.1400918450609916
423,1.1400918450609916
424,1.1400918450609916
425,1.1400918450609916
426,1.1400918450609916
427,1.1400918450609916
428,1.1400918450609916
429,1.1400918450609916
430,1.1400918450609916
431,1.1400918450609916
432,1.1400918450609916
433,1.1400918450609916
434,1.1400918450609916
435,1.1400918450609916
436,1.1400918450609916
437,1.1400918450609916
438,1.1400918450609916
439,1.1400918450609916
440,1.1400918450609916
441,1.1400918450609916
442,1.1400918450609916
443,1.1400918450609916
444,1.1400918450609916
445,1.1370682349229908
446,1.1370682349229908
447,1.1412650358543466
448,1.1361380816464244
449,1.1361380816464244
450,1.1361380816464244
451,1.1361380816464244
452,1.1361380816464244
453,1.1361380816464244
454,1.1361380816464244
455,1.1361380816464244
456,1.1361380816464244
457,1.1347870114236445
458,1.134209904311141
459,1.134209904311141
460,1.139034224502788
461,1.139034224502788
462,1.139034224502788
463,1.139034224502788
464,1.1411899265408727
465,1.1365077962720809
466,1.1365077962720809
467,1.1361949409082257
468,1.1361949409082257
469,1.1361949409082257
470,1.1382248261175139
471,1.1382248261175139
472,1.1391108787990274
473,1.1391108787990274
474,1.1391108787990274
475,1.1399671862971585
476,1.1401348139973404
477,1.1378145516839175
478,1.1378145516839175
479,1.1378145516839175
480,1.1370363477781125
481,1.1370363477781125
482,1.1370363477781125
483,1.1370363477781125
484,1.1370363477781125
485,1.1370363477781125
486,1.1370363477781125
487,1.1370363477781125
488,1.1370363477781125
489,1.1370363477781125
490,1.1370363477781125
491,1.1370363477781125
492,1.1370363477781125
493,1.1370363477781125
494,1.136748147323132
495,1.136748147323132
496,1.136748147323132
497,1.136748147323132
498,1.136748147323132
499,1.1383717655575984
500,1.1414708137052603
501,1.1402807895468208
502,1.1402807895468208
503,1.1402807895468208
504,1.1402807895468208
505,1.1370369678768883
506,1.1370369678768883
507,1.137112630274098
508,1.136969241036603
509,1.136969241036603
510,1.136969241036603
511,1.136969241036603
512,1.139326316692134
513,1.139326316692134
514,1.1367947361365014
515,1.1386069841018467
516,1.1386069841018467
517,1.1386069841018467
518,1.138082652296481
519,1.138082652296481
520,1.138082652296481
521,1.138082652296481
522,1.138082652296481
523,1.140145489527258
524,1.140145489527258
525,1.140145489527258
526,1.140145489527258
527,1.140145489527258
528,1.1356850487877794
529,1.1356850487877794
530,1.141916842561271
531,1.141916842561271
532,1.141916842561271
533,1.141916842561271
534,1.141916842561271
535,1.141916842561271
536,1.141916842561271
537,1.1379392537683641
538,1.1379392537683641
539,1.1377059374156582
540,1.1377059374156582
541,1.1377059374156582
542,1.1377059374156582
543,1.138033511422015
544,1.138033511422015
545,1.138033511422015
546,1.138033511422015
547,1.138033511422015
548,1.138033511422015
549,1.1343647107760888
550,1.1343647107760888
551,1.1343647107760888
552,1.1343647107760888
553,1.1343647107760888
554,1.1343647107760888
555,1.1343647107760888
556,1.1343647107760888
557,1.1343647107760888
558,1.1343647107760888
559,1.1343647107760888
560,1.1343647107760888
561,1.14020356224215
562,1.14020356224215
563,1.14020356224215
564,1.14020356224215
565,1.1358953579301079
566,1.1396060058357813
567,1.1387276444878978
568,1.1387276444878978
569,1.1387276444878978
570,1.1387276444878978
571,1.1387276444878978
572,1.1387276444878978
573,1.1387276444878978
574,1.1387276444878978
575,1.1387276444878978
576,1.1387276444878978
577,1.1387276444878978
578,1.1387276444878978
579,1.1387276444878978
580,1.1387276444878978
581,1.1387276444878978
582,1.1387276444878978
583,1.1387276444878978
584,1.1387276444878978
585,1.1359228398890306
586,1.1359228398890306
587,1.1359228398890306
588,1.1359228398890306
589,1.1359228398890306
590,1.1359228398890306
591,1.1413954860461204
592,1.1413954860461204
593,1.1413954860461204
594,1.1380402875532887
595,1.1380402875532887
596,1.1380402875532887
597,1.1380402875532887
598,1.1380402875532887
599,1.1359553259020077
600,1.1359553259020077
601,1.1359553259020077
602,1.1359553259020077
603,1.1359553259020077
604,1.1373351540636798
605,1.1373351540636798
606,1.1373351540636798
607,1.1373351540636798
608,1.1373351540636798
609,1.1373351540636798
610,1.1373351540636798
611,1.1373351540636798
612,1.1373351540636798
613,1.1373351540636798
614,1.1391557388467217
615,1.1391557388467217
616,1.1391557388467217
617,1.1391557388467217
618,1.1391557388467217
619,1.1391557388467217
620,1.1391557388467217
621,1.1391557388467217
622,1.1391557388467217
623,1.1391557388467217
624,1.1391557388467217
625,1.1391557388467217
626,1.1375355470371935
627,1.1375355470371935
628,1.1375355470371935
629,1.1375355470371935
630,1.1375355470371935
631,1.1376646698399293
632,1.1400987921921126
633,1.1400987921921126
634,1.1400987921921126
635,1.1400987921921126
636,1.1400987921921126
637,1.1400987921921126
638,1.1400987921921126
639,1.139799653722784
640,1.139799653722784
641,1.139799653722784
642,1.139799653722784
643,1.139799653722784
644,1.139799653722784
645,1.139799653722784
646,1.139799653722784
647,1.139799653722784
648,1.139799653722784
649,1.1360130556457888
650,1.1360130556457888
651,1.1360130556457888
652,1.1360130556457888
653,1.1360130556457888
654,1.1360130556457888
655,1.1360130556457888
656,1.1360130556457888
657,1.1360130556457888
658,1.1375891075841305
659,1.1375891075841305
660,1.1375891075841305
661,1.1375891075841305
662,1.1375891075841305
663,1.1393429549632352
664,1.1393429549632352
665,1.1393429549632352
666,1.1393429549632352
667,1.1393429549632352
668,1.1393429549632352
669,1.1393429549632352
670,1.1393429549632352
671,1.1393429549632352
672,1.1359414316702718
673,1.1359414316702718
674,1.1359414316702718
675,1.1373886188758153
676,1.1390789002958386
677,1.1390789002958386
678,1.135813452533607
679,1.135813452533607
680,1.1345774573057614
681,1.1358451845069344
682,1.1358451845069344
683,1.1358451845069344
684,1.1402539851121778
685,1.1402539851121778
686,1.1402539851121778
687,1.1402539851121778
688,1.1402539851121778
689,1.1402539851121778
690,1.1402539851121778
691,1.1402539851121778
692,1.1402539851121778
693,1.1402539851121778
694,1.1402539851121778
695,1.1402539851121778
696,1.1402539851121778
697,1.1402539851121778
698,1.1402539851121778
699,1.1402539851121778
700,1.136234992780569
701,1.136234992780569
702,1.136234992780569
703,1.1353789249110549
704,1.1353789249110549
705,1.1353789249110549
706,1.1353789249110549
707,1.1353789249110549
708,1.141588328291939
709,1.141588328291939
710,1.141588328291939
711,1.141588328291939
712,1.141588328291939
713,1.141588328291939
714,1.1376229446147996
715,1.1376229446147996
716,1.1376229446147996
717,1.1376229446147996
718,1.1376229446147996
719,1.1376229446147996
720,1.1376229446147996
721,1.1376229446147996
722,1.1376229446147996
723,1.1376229446147996
724,1.1389987252550258
725,1.1389987252550258
726,1.1384703962335496
727,1.1384703962335496
728,1.1384703962335496
729,1.1384703962335496
730,1.1384703962335496
731,1.1384703962335496
732,1.1384703962335496
733,1.1384703962335496
734,1.1384703962335496
735,1.1384703962335496
736,1.1384703962335496
737,1.1384703962335496
738,1.1365547225263828
739,1.1365547225263828
740,1.1365547225263828
741,1.1394796733769066
742,1.1365865994521753
743,1.1365865994521753
744,1.1365865994521753
745,1.1365865994521753
746,1.1372705325917971
747,1.1372705325917971
748,1.1372705325917971
749,1.1372705325917971
750,1.1372705325917971
751,1.1372705325917971
752,1.1372705325917971
753,1.1372705325917971
754,1.1372705325917971
755,1.1372705325917971
756,1.1372705325917971
757,1.1372705325917971
758,1.1372705325917971
759,1.142434577950359
760,1.1380709386175694
761,1.1390553441352331
762,1.1390553441352331
763,1.1390553441352331
764,1.1390553441352331
765,1.136475812830724
766,1.136475812830724
767,1.136475812830724
768,1.1393519942402996
769,1.1393519942402996
770,1.1406633669849342
771,1.1406633669849342
772,1.1399276972056214
773,1.1399276972056214
774,1.1399276972056214
775,1.1399276972056214
776,1.1399276972056214
777,1.1399276972056214
778,1.1399276972056214
779,1.1399276972056214
780,1.1399276972056214
781,1.1399276972056214
782,1.1399276972056214
783,1.1399276972056214
784,1.1388940511551597
785,1.1388940511551597
786,1.1388940511551597
787,1.1388940511551597
788,1.1388940511551597
789,1.138931803279976
790,1.138931803279976
791,1.138931803279976
792,1.138931803279976
793,1.1387005963362486
794,1.1387005963362486
795,1.1387005963362486
796,1.1387005963362486
797,1.1371658126282642
798,1.1371658126282642
799,1.1371658126282642
800,1.1371658126282642
801,1.1358110770207477
802,1.1358110770207477
803,1.1379624704798676
804,1.1379624704798676
805,1.1379624704798676
806,1.1379624704798676
807,1.1379624704798676
808,1.1379624704798676
809,1.1383927200614887
810,1.1383927200614887
811,1.1383927200614887
812,1.137798508231646
813,1.1407101466409786
814,1.1407101466409786
815,1.1407101466409786
816,1.1407101466409786
817,1.1407101466409786
818,1.1407101466409786
819,1.1407101466409786
820,1.1407101466409786
821,1.1407101466409786
822,1.1407101466409786
823,1.1407101466409786
824,1.1407101466409786
825,1.1407101466409786
826,1.1402399943675627
827,1.1388841117296524
828,1.1388841117296524
829,1.1388841117296524
830,1.1388841117296524
831,1.1388841117296524
832,1.1375540013773022
833,1.1375540013773022
834,1.1378874309528653
835,1.1384258127730127
836,1.1384258127730127
837,1.1384258127730127
838,1.1384258127730127
839,1.1384258127730127
840,1.1384258127730127
841,1.1384258127730127
842,1.1384258127730127
843,1.1384258127730127
844,1.1384258127730127
845,1.1384258127730127
846,1.1373320293519673
847,1.1373320293519673
848,1.1358317775082225
849,1.1358317775082225
850,1.1358317775082225
851,1.1371802953610504
852,1.1411577154342105
853,1.1411577154342105
854,1.1393077759548467
855,1.1393077759548467
856,1.1393077759548467
857,1.1393077759548467
858,1.1393077759548467
859,1.1386685990577603
860,1.1386685990577603
861,1.1386685990577603
862,1.1356333488384787
863,1.1356333488384787
864,1.1356333488384787
865,1.1399413459879655
866,1.1399413459879655
867,1.1353935523981757
868,1.1353935523981757
869,1.1353935523981757
870,1.1353935523981757
871,1.1353935523981757
872,1.1353935523981757
873,1.1365691242086862
874,1.1365691242086862
875,1.1372139599777533
876,1.1372139599777533
877,1.1372139599777533
878,1.1356209757584894
879,1.1356209757584894
880,1.1356209757584894
881,1.1356209757584894
882,1.1356209757584894
883,1.142264394694895
884,1.142264394694895
885,1.142264394694895
886,1.142264394694895
887,1.142264394694895
888,1.142264394694895
889,1.1354236976096328
890,1.1354236976096328
891,1.1354236976096328
892,1.1419938061382002
893,1.1419938061382002
894,1.1419938061382002
895,1.1419938061382002
896,1.1419938061382002
897,1.1376464444415988
898,1.1376464444415988
899,1.1376464444415988
900,1.1376464444415988
901,1.1376464444415988
902,1.1376464444415988
903,1.1376464444415988
904,1.1376464444415988
905,1.1376464444415988
906,1.1371391574059568
907,1.1371391574059568
908,1.1371391574059568
909,1.1371391574059568
910,1.1371391574059568
911,1.1371391574059568
912,1.1371391574059568
913,1.1383561334664127
914,1.1401689875463386
915,1.1386046865930883
916,1.1386046865930883
917,1.1386046865930883
918,1.1386046865930883
919,1.1386046865930883
920,1.1386046865930883
921,1.1386046865930883
922,1.1386046865930883
923,1.1386046865930883
924,1.1386046865930883
925,1.1386046865930883
926,1.1386046865930883
927,1.1386046865930883
928,1.1358769705618892
929,1.139162751620769
930,1.139162751620769
931,1.139162751620769
932,1.139280777316592
933,1.139280777316592
934,1.139722297794986
935,1.139722297794986
936,1.139722297794986
937,1.139722297794986
938,1.139722297794986
939,1.139722297794986
940,1.139722297794986
941,1.139722297794986
942,1.139722297794986
943,1.139722297794986
944,1.139722297794986
945,1.1389717160142194
946,1.1389717160142194
947,1.1389717160142194
948,1.1389717160142194
949,1.1389717160142194
950,1.1389717160142194
951,1.1389717160142194
952,1.1389717160142194
953,1.1389717160142194
954,1.1389717160142194
955,1.1389717160142194
956,1.1389717160142194
957,1.1389717160142194
958,1.1389717160142194
959,1.1389717160142194
960,1.1389717160142194
961,1.1389717160142194
962,1.1389717160142194
963,1.1377649853165097
964,1.1377649853165097
965,1.1377649853165097
966,1.1354988007550921
967,1.1427286881478325
968,1.1427286881478325
969,1.1358162366511468
970,1.1358162366511468
971,1.1358162366511468
972,1.1358162366511468
973,1.1358162366511468
974,1.1358162366511468
975,1.1401055978962513
976,1.140132339958449
977,1.133959211267147
978,1.1389273833174984
979,1.1389273833174984
980,1.1389273833174984
981,1.1389273833174984
982,1.1365487223487045
983,1.1365487223487045
984,1.1365487223487045
985,1.1365487223487045
986,1.1365487223487045
987,1.1366360801060138
988,1.1366360801060138
989,1.1366360801060138
990,1.1366360801060138
991,1.1366360801060138
992,1.1366360801060138
993,1.1366360801060138
994,1.1366360801060138
995,1.1366360801060138
996,1.1366360801060138
997,1.1366360801060138
998,1.1406396706770845
999,1.1406396706770845
1000,1.1406396706770845
1001,1.1394694713880178
1002,1.1389311063043819
1003,1.1389311063043819
1004,1.1389311063043819
1005,1.1389311063043819
1006,1.1389311063043819
1007,1.1389311063043819
1008,1.1389311063043819
1009,1.1389311063043819
1010,1.1389311063043819
1011,1.1389311063043819
1012,1.1389311063043819
1013,1.1389311063043819
1014,1.1386841898177877
1015,1.1360818963764803
1016,1.1360818963764803
1017,1.135272143849915
1018,1.135272143849915
1019,1.135272143849915
1020,1.137477837146235
1021,1.137477837146235
1022,1.137477837146235
1023,1.137477837146235
1024,1.137477837146235
1025,1.137477837146235
1026,1.137477837146235
1027,1.137477837146235
1028,1.1392343700484835
1029,1.1374304205724823
1030,1.1374304205724823
1031,1.1374304205724823
1032,1.1374304205724823
1033,1.136641437850354
1034,1.136641437850354
1035,1.137918004578061
1036,1.137918004578061
1037,1.137918004578061
1038,1.137918004578061
1039,1.137918004578061
1040,1.137918004578061
1041,1.1367176187205323
1042,1.1367176187205323
1043,1.1367176187205323
1044,1.1411974779487313
1045,1.1399015852258683
1046,1.1399015852258683
1047,1.1399015852258683
1048,1.1381942648615508
1049,1.1381942648615508
1050,1.1381942648615508
1051,1.1381942648615508
1052,1.1381942648615508
1053,1.1372916282449042
1054,1.1372916282449042
1055,1.1372916282449042
1056,1.1372916282449042
1057,1.1372916282449042
1058,1.138137390953027
1059,1.138137390953027
1060,1.14044839472996
1061,1.14044839472996
1062,1.14044839472996
1063,1.135446059790814
1064,1.140475130781421
1065,1.140475130781421
1066,1.13986140877923
1067,1.13986140877923
1068,1.13986140877923
1069,1.1389781746564662
1070,1.1389781746564662
1071,1.1389781746564662
1072,1.1389781746564662
1073,1.1389781746564662
1074,1.1389781746564662
1075,1.1389781746564662
1076,1.1389781746564662
1077,1.1388417291826107
1078,1.1388417291826107
1079,1.1376296874821923
1080,1.1376296874821923
1081,1.1391192285452272
1082,1.1391192285452272
1083,1.1391192285452272
1084,1.1391192285452272
1085,1.1376081558498037
1086,1.1410496179325675
1087,1.1410496179325675
1088,1.1410496179325675
1089,1.140845986548143
1090,1.140845986548143
1091,1.140845986548143
1092,1.1362298513659002
1093,1.1379863349702168
1094,1.1379863349702168
1095,1.1379863349702168
1096,1.1379863349702168
1097,1.1379863349702168
1098,1.1379863349702168
1099,1.1379863349702168
1100,1.1368978113988593
1101,1.1368978113988593
1102,1.1368978113988593
1103,1.1368978113988593
1104,1.1364868465826203
1105,1.1364868465826203
1106,1.1356695200696965
1107,1.1407353282145483
1108,1.1407353282145483
1109,1.1407353282145483
1110,1.1407353282145483
1111,1.1392466356751234
1112,1.1398426243144877
1113,1.1398426243144877
1114,1.1398426243144877
1115,1.1398426243144877
1116,1.1398426243144877
1117,1.1398426243144877
1118,1.1398426243144877
1119,1.1398426243144877
1120,1.1398426243144877
1121,1.1398426243144877
1122,1.1398426243144877
1123,1.1380528535863321
1124,1.1380528535863321
1125,1.1380528535863321
1126,1.1380528535863321
1127,1.1380528535863321
1128,1.1380528535863321
1129,1.1380528535863321
1130,1.1380528535863321
1131,1.1380528535863321
1132,1.1380528535863321
1133,1.1380528535863321
1134,1.1380528535863321
1135,1.1380528535863321
1136,1.1380528535863321
1137,1.1380528535863321
1138,1.1380528535863321
1139,1.1380528535863321
1140,1.1380528535863321
1141,1.1380528535863321
1142,1.1380528535863321
1143,1.1380528535863321
1144,1.139918915640982
1145,1.1388354537090501
1146,1.1388354537090501
1147,1.1388354537090501
1148,1.1388354537090501
1149,1.1388354537090501
1150,1.1388354537090501
1151,1.1388354537090501
1152,1.1385636506968009
1153,1.1385636506968009
1154,1.1355136187464998
1155,1.1405464285016103
1156,1.1405464285016103
1157,1.1405464285016103
1158,1.1405464285016103
1159,1.140819670731955
1160,1.140819670731955
1161,1.140819670731955
1162,1.139740829335456
1163,1.139740829335456
1164,1.139740829335456
1165,1.139740829335456
1166,1.139073473396125
1167,1.139073473396125
1168,1.139073473396125
1169,1.139073473396125
1170,1.139073473396125
1171,1.137521236572546
1172,1.137521236572546
1173,1.137521236572546
1174,1.137521236572546
1175,1.137521236572546
1176,1.137521236572546
1177,1.1371130246294496
1178,1.1371130246294496
1179,1.1371130246294496
1180,1.1371130246294496
1181,1.1371130246294496
1182,1.1371130246294496
1183,1.1371130246294496
1184,1.139210723694166
1185,1.139210723694166
1186,1.139210723694166
1187,1.139210723694166
1188,1.137342821126785
1189,1.139866661697179
1190,1.139866661697179
