,r
0,6.270569143698722
1,6.270569143698722
2,6.270569143698722
3,6.270569143698722
4,6.311230539093031
5,6.311230539093031
6,6.311230539093031
7,6.311230539093031
8,6.311230539093031
9,6.262087301912981
10,6.262087301912981
11,6.262087301912981
12,6.262087301912981
13,6.262087301912981
14,6.262087301912981
15,6.268585677107767
16,6.268585677107767
17,6.268585677107767
18,6.2988153072676845
19,6.2988153072676845
20,6.2988153072676845
21,6.2988153072676845
22,6.2988153072676845
23,6.184241641817049
24,6.331204834696337
25,6.331204834696337
26,6.331204834696337
27,6.269817683264448
28,6.269817683264448
29,6.269817683264448
30,6.269817683264448
31,6.269817683264448
32,6.269817683264448
33,6.269817683264448
34,6.269817683264448
35,6.269817683264448
36,6.269817683264448
37,6.269817683264448
38,6.269817683264448
39,6.269817683264448
40,6.269817683264448
41,6.269817683264448
42,6.269817683264448
43,6.269817683264448
44,6.269817683264448
45,6.269817683264448
46,6.269817683264448
47,6.269817683264448
48,6.269817683264448
49,6.269817683264448
50,6.269817683264448
51,6.269817683264448
52,6.269817683264448
53,6.269817683264448
54,6.269817683264448
55,6.269817683264448
56,6.269817683264448
57,6.269817683264448
58,6.269817683264448
59,6.269817683264448
60,6.269817683264448
61,6.269817683264448
62,6.269817683264448
63,6.282080881131586
64,6.282080881131586
65,6.282080881131586
66,6.282080881131586
67,6.282080881131586
68,6.282080881131586
69,6.282080881131586
70,6.282080881131586
71,6.282080881131586
72,6.282080881131586
73,6.282080881131586
74,6.282080881131586
75,6.282080881131586
76,6.173135111840218
77,6.173135111840218
78,6.173135111840218
79,6.173135111840218
80,6.173135111840218
81,6.191713683533602
82,6.3058674654402305
83,6.3058674654402305
84,6.3058674654402305
85,6.3058674654402305
86,6.2661876707823145
87,6.150918807667206
88,6.310790080955844
89,6.310790080955844
90,6.2155923033187515
91,6.2155923033187515
92,6.2155923033187515
93,6.330585962260317
94,6.330585962260317
95,6.21019562252004
96,6.21019562252004
97,6.21019562252004
98,6.322364126049648
99,6.322364126049648
100,6.300847294996843
101,6.169359117982662
102,6.314706567175251
103,6.314706567175251
104,6.253537987457699
105,6.253537987457699
106,6.256759625323639
107,6.256759625323639
108,6.256759625323639
109,6.235485730874435
110,6.272506071658861
111,6.272506071658861
112,6.310582576085989
113,6.310582576085989
114,6.310582576085989
115,6.310582576085989
116,6.310582576085989
117,6.310582576085989
118,6.310582576085989
119,6.310582576085989
120,6.225768131750832
121,6.225768131750832
122,6.225768131750832
123,6.225768131750832
124,6.225768131750832
125,6.225768131750832
126,6.225768131750832
127,6.225768131750832
128,6.225768131750832
129,6.225768131750832
130,6.225768131750832
131,6.21153005445051
132,6.29030934048047
133,6.29030934048047
134,6.29030934048047
135,6.192514182472586
136,6.192514182472586
137,6.192514182472586
138,6.192514182472586
139,6.192514182472586
140,6.3330980504250025
141,6.3330980504250025
142,6.3330980504250025
143,6.3330980504250025
144,6.3330980504250025
145,6.33054347893424
146,6.346303456885156
147,6.317715153884328
148,6.2795937243550455
149,6.2795937243550455
150,6.2795937243550455
151,6.256047983092947
152,6.256047983092947
153,6.256047983092947
154,6.256047983092947
155,6.256047983092947
156,6.256047983092947
157,6.256047983092947
158,6.256047983092947
159,6.256047983092947
160,6.229050516235205
161,6.229050516235205
162,6.229050516235205
163,6.229050516235205
164,6.229050516235205
165,6.2800933076510415
166,6.2800933076510415
167,6.2800933076510415
168,6.2800933076510415
169,6.2800933076510415
170,6.2800933076510415
171,6.2800933076510415
172,6.2800933076510415
173,6.2800933076510415
174,6.2800933076510415
175,6.2800933076510415
176,6.2800933076510415
177,6.2800933076510415
178,6.2800933076510415
179,6.2800933076510415
180,6.2800933076510415
181,6.2800933076510415
182,6.2800933076510415
183,6.207506498617541
184,6.207506498617541
185,6.207506498617541
186,6.207506498617541
187,6.207506498617541
188,6.207506498617541
189,6.207506498617541
190,6.207506498617541
191,6.207506498617541
192,6.207506498617541
193,6.207506498617541
194,6.207506498617541
195,6.207506498617541
196,6.207506498617541
197,6.207506498617541
198,6.184907629182878
199,6.184907629182878
200,6.260200651513197
201,6.260200651513197
202,6.260200651513197
203,6.260200651513197
204,6.260200651513197
205,6.260200651513197
206,6.260200651513197
207,6.260200651513197
208,6.260200651513197
209,6.260200651513197
210,6.260200651513197
211,6.260200651513197
212,6.305655373894578
213,6.305655373894578
214,6.231332645839967
215,6.231332645839967
216,6.231332645839967
217,6.231332645839967
218,6.231332645839967
219,6.231332645839967
220,6.231332645839967
221,6.231332645839967
222,6.231332645839967
223,6.231332645839967
224,6.231332645839967
225,6.231332645839967
226,6.231332645839967
227,6.231332645839967
228,6.231332645839967
229,6.198630832309654
230,6.270939526159701
231,6.270939526159701
232,6.270939526159701
233,6.270939526159701
234,6.270939526159701
235,6.270939526159701
236,6.23280606932096
237,6.23280606932096
238,6.23280606932096
239,6.23280606932096
240,6.23280606932096
241,6.241449385442172
242,6.241449385442172
243,6.241449385442172
244,6.241449385442172
245,6.241449385442172
246,6.241449385442172
247,6.241449385442172
248,6.241449385442172
249,6.3089604791612715
250,6.3089604791612715
251,6.3089604791612715
252,6.3089604791612715
253,6.3089604791612715
254,6.3089604791612715
255,6.3089604791612715
256,6.3089604791612715
257,6.3089604791612715
258,6.3089604791612715
259,6.3089604791612715
260,6.3089604791612715
261,6.3089604791612715
262,6.3089604791612715
263,6.3089604791612715
264,6.3089604791612715
265,6.3089604791612715
266,6.237740407869902
267,6.237740407869902
268,6.237740407869902
269,6.237740407869902
270,6.237740407869902
271,6.237740407869902
272,6.237740407869902
273,6.237740407869902
274,6.237740407869902
275,6.237740407869902
276,6.237740407869902
277,6.237740407869902
278,6.237740407869902
279,6.237740407869902
280,6.237740407869902
281,6.237740407869902
282,6.237740407869902
283,6.237740407869902
284,6.237740407869902
285,6.237740407869902
286,6.237740407869902
287,6.237740407869902
288,6.237740407869902
289,6.237740407869902
290,6.250222982475452
291,6.250222982475452
292,6.250222982475452
293,6.210818010136816
294,6.210818010136816
295,6.210818010136816
296,6.210818010136816
297,6.187965551279763
298,6.187965551279763
299,6.187965551279763
300,6.316604144361432
301,6.316604144361432
302,6.316604144361432
303,6.316604144361432
304,6.316604144361432
305,6.316604144361432
306,6.316604144361432
307,6.316604144361432
308,6.316604144361432
309,6.316604144361432
310,6.316604144361432
311,6.316604144361432
312,6.316604144361432
313,6.316604144361432
314,6.316604144361432
315,6.316604144361432
316,6.316604144361432
317,6.316604144361432
318,6.316604144361432
319,6.316604144361432
320,6.316604144361432
321,6.316604144361432
322,6.316604144361432
323,6.316604144361432
324,6.316604144361432
325,6.193205604377979
326,6.3248941395422404
327,6.3248941395422404
328,6.3248941395422404
329,6.3248941395422404
330,6.313695782957109
331,6.313695782957109
332,6.313695782957109
333,6.313695782957109
334,6.313695782957109
335,6.313695782957109
336,6.313695782957109
337,6.313695782957109
338,6.313695782957109
339,6.313695782957109
340,6.313695782957109
341,6.284622226683985
342,6.284622226683985
343,6.284622226683985
344,6.284622226683985
345,6.284622226683985
346,6.284622226683985
347,6.284622226683985
348,6.284622226683985
349,6.284622226683985
350,6.284622226683985
351,6.284622226683985
352,6.222860828708776
353,6.222860828708776
354,6.222860828708776
355,6.222860828708776
356,6.222860828708776
357,6.222860828708776
358,6.281338542491694
359,6.281338542491694
360,6.27297479963497
361,6.27297479963497
362,6.27297479963497
363,6.27297479963497
364,6.27297479963497
365,6.27297479963497
366,6.27297479963497
367,6.281477808819147
368,6.281477808819147
369,6.281477808819147
370,6.242586771892499
371,6.242586771892499
372,6.242586771892499
373,6.242586771892499
374,6.242586771892499
375,6.242586771892499
376,6.242586771892499
377,6.242586771892499
378,6.242586771892499
379,6.242586771892499
380,6.242586771892499
381,6.242586771892499
382,6.242586771892499
383,6.242586771892499
384,6.242586771892499
385,6.242586771892499
386,6.242586771892499
387,6.242586771892499
388,6.242586771892499
389,6.242586771892499
390,6.242586771892499
391,6.242586771892499
