,r
0,0.47336019303650284
1,0.47336019303650284
2,0.47336019303650284
3,0.47336019303650284
4,0.5213404754207409
5,0.5213404754207409
6,0.5213404754207409
7,0.512629494260296
8,0.512629494260296
9,0.512629494260296
10,0.512629494260296
11,0.48206471656580363
12,0.48206471656580363
13,0.48206471656580363
14,0.48206471656580363
15,0.48206471656580363
16,0.48206471656580363
17,0.48206471656580363
18,0.4782378769014906
19,0.4782378769014906
20,0.4782378769014906
21,0.5087822440512176
22,0.5087822440512176
23,0.5087822440512176
24,0.5087822440512176
25,0.5087822440512176
26,0.5087822440512176
27,0.5087822440512176
28,0.5087822440512176
29,0.5087822440512176
30,0.5087822440512176
31,0.5087822440512176
32,0.5087822440512176
33,0.49674442230103777
34,0.49674442230103777
35,0.49674442230103777
36,0.4846879931109283
37,0.4846879931109283
38,0.4846879931109283
39,0.4846879931109283
40,0.4846879931109283
41,0.4846879931109283
42,0.4846879931109283
43,0.4846879931109283
44,0.4846879931109283
45,0.49176104361094236
46,0.49176104361094236
47,0.49176104361094236
48,0.47300305096083806
49,0.47300305096083806
50,0.47300305096083806
51,0.47300305096083806
52,0.47300305096083806
53,0.49122486367447765
54,0.49122486367447765
55,0.49122486367447765
56,0.49122486367447765
57,0.49122486367447765
58,0.49122486367447765
59,0.49122486367447765
60,0.49122486367447765
61,0.49122486367447765
62,0.49122486367447765
63,0.49122486367447765
64,0.49122486367447765
65,0.49122486367447765
66,0.49122486367447765
67,0.49122486367447765
68,0.49122486367447765
69,0.49122486367447765
70,0.49122486367447765
71,0.49122486367447765
72,0.49122486367447765
73,0.49122486367447765
74,0.5050163063572346
75,0.5050163063572346
76,0.5050163063572346
77,0.5050163063572346
78,0.5050163063572346
79,0.5050163063572346
80,0.5050163063572346
81,0.5050163063572346
82,0.5050163063572346
83,0.4909807762970229
84,0.4909807762970229
85,0.4909807762970229
86,0.482051313692477
87,0.482051313692477
88,0.482051313692477
89,0.482051313692477
90,0.482051313692477
91,0.5077757523232682
92,0.5054446242442312
93,0.5054446242442312
94,0.49605902486705183
95,0.49605902486705183
96,0.49139411558866575
97,0.49139411558866575
98,0.49139411558866575
99,0.49139411558866575
100,0.4806443281746213
101,0.4806443281746213
102,0.4806443281746213
103,0.4806443281746213
104,0.4806443281746213
105,0.5001115034970295
106,0.5001115034970295
107,0.5001115034970295
108,0.5001115034970295
109,0.507100306272595
110,0.507100306272595
111,0.507100306272595
112,0.507100306272595
113,0.507100306272595
114,0.507100306272595
115,0.507100306272595
116,0.507100306272595
117,0.507100306272595
118,0.507100306272595
119,0.507100306272595
120,0.507100306272595
121,0.507100306272595
122,0.48108450437660216
123,0.48108450437660216
124,0.5172771791211316
125,0.5172771791211316
126,0.5172771791211316
127,0.5172771791211316
128,0.5153304776080014
129,0.5153304776080014
130,0.4931898095474276
131,0.4931898095474276
132,0.4958448529004924
133,0.4958448529004924
134,0.4958448529004924
135,0.4958448529004924
136,0.4958448529004924
137,0.4958448529004924
138,0.4958448529004924
139,0.5137561246055699
140,0.5137561246055699
141,0.5137561246055699
142,0.5137561246055699
143,0.49818317787938715
144,0.49818317787938715
145,0.4645509699149284
146,0.48137453702045246
147,0.48009769392559826
148,0.48009769392559826
149,0.48009769392559826
150,0.48009769392559826
151,0.48009769392559826
152,0.48009769392559826
153,0.48009769392559826
154,0.48009769392559826
155,0.48009769392559826
156,0.4989065463710944
157,0.4989065463710944
158,0.4989065463710944
159,0.4989065463710944
160,0.4989065463710944
161,0.4902630918120386
162,0.4902630918120386
163,0.4902630918120386
164,0.4902630918120386
165,0.510465048952351
166,0.510465048952351
167,0.510465048952351
168,0.5163734507364829
169,0.5163734507364829
170,0.5163734507364829
171,0.5163734507364829
172,0.5163734507364829
173,0.49987956320404775
174,0.4900121409997489
175,0.4900121409997489
176,0.4900121409997489
177,0.4826679240958535
178,0.4826679240958535
179,0.4826679240958535
180,0.4826679240958535
181,0.4826679240958535
182,0.4826679240958535
183,0.4826679240958535
184,0.4826679240958535
185,0.4826679240958535
186,0.4826679240958535
187,0.4826679240958535
188,0.49204302377572995
189,0.49204302377572995
190,0.49204302377572995
